time,entry_time,type_keylevel,key_level,value,delta_ema_h1
2024-01-12 13:00:00,2024-01-12 17:00:00,R,2043.843,10,True
2024-04-05 14:00:00,2024-04-08 01:00:00,R,2304.906,10,True
2024-04-09 09:00:00,2024-04-09 11:00:00,R,2354.196,10,True
2024-04-19 01:00:00,2024-04-19 02:00:00,R,2398.289,10,True
2024-07-11 12:00:00,2024-07-22 14:00:00,R,2387.739,10,True
2024-07-31 19:00:00,2024-08-01 09:00:00,R,2431.987,10,True
2024-08-16 12:00:00,2024-08-22 14:00:00,R,2476.995,10,True
2024-10-17 14:00:00,2024-10-17 16:00:00,R,2685.635,10,True
2024-10-29 14:00:00,2024-10-31 13:00:00,R,2758.532,10,True
