time,entry_time,type_keylevel,key_level,value,delta_ema_h1
2024-04-22 11:00:00,2024-05-10 01:00:00,S,2354.584,10,False
2024-04-22 12:00:00,2024-04-23 01:00:00,S,2318.705,10,False
2024-05-30 05:00:00,2024-05-30 06:00:00,S,2332.103,10,False
2024-06-26 13:00:00,2024-06-27 08:00:00,S,2306.57,10,False
2024-10-08 14:00:00,2024-10-11 02:00:00,S,2638.0,10,False
2024-12-06 01:00:00,2024-12-06 03:00:00,S,2625.615,10,False
