time,entry_time,type_keylevel,key_level,value,delta_ema_h1
2022-04-25 10:00:00,2022-04-29 11:00:00,S,1917.923,10,False
2022-05-02 12:00:00,2022-05-02 15:00:00,S,1872.012,10,False
2022-05-12 16:00:00,2022-05-17 11:00:00,S,1835.429,10,False
2022-07-01 05:00:00,2022-07-01 15:00:00,S,1805.102,10,False
2022-07-05 14:00:00,2022-08-02 12:00:00,S,1784.511,10,False
2022-09-15 14:00:00,2022-10-03 14:00:00,S,1688.76,10,False
2022-09-23 10:00:00,2022-09-23 13:00:00,S,1654.145,10,False
2022-10-19 10:00:00,2022-10-20 14:00:00,S,1642.375,10,False
